# accession,Tm,ogt,species
G3XA54,44.485231165821624,37,Mus musculus
G3XA66,53.686951674718735,37,Mus musculus
G3XAA4,50.51057790637592,37,Homo sapiens
G3XAE0,51.894872729093436,37,Homo sapiens
G3XAH0,53.746549015681,37,Homo sapiens
G3XAI2,53.207962155939164,37,Homo sapiens
G3XAN8,54.231139636283665,37,Homo sapiens
G4RYA5,39.98679009321406,20,Caenorhabditis elegans
G4S185,39.5858593310248,20,Caenorhabditis elegans
G4S1A4,37.04405051135266,20,Caenorhabditis elegans
G4SCE4,43.17544693076747,20,Caenorhabditis elegans
G4SF15,49.65523627086019,20,Caenorhabditis elegans
G4SF79,42.740370307140225,20,Caenorhabditis elegans
G4SLH0,44.80405354649469,20,Caenorhabditis elegans
G4SN18,42.385709590346096,20,Caenorhabditis elegans
G4SNB8,43.892618575834724,20,Caenorhabditis elegans
G4SP89,47.32616602811093,20,Caenorhabditis elegans
G4SRU7,37.64851107879549,20,Caenorhabditis elegans
G5E814,50.8259056074911,37,Mus musculus
G5E829,51.89995857595025,37,Mus musculus
G5E837,47.53993035001761,37,Mus musculus
G5E861,49.6460705748379,37,Mus musculus
G5E866,49.89992797014504,37,Mus musculus
G5E870,46.29460612592053,37,Mus musculus
G5E881,46.76928952432118,37,Mus musculus
G5E884,54.18602590754548,37,Mus musculus
G5E889,46.35928135910103,37,Mus musculus
G5E895,46.83816212444841,37,Mus musculus
G5E896,50.57875811842521,37,Mus musculus
G5E897,50.75586329306737,37,Mus musculus
G5E8A7,49.886600884827374,37,Mus musculus
G5E8C4,48.43551440922559,37,Mus musculus
G5E8E1,55.017134739176086,37,Mus musculus
G5E8H3,47.143776687309234,37,Mus musculus
G5E8I8,52.033785019784865,37,Mus musculus
G5E8J0,50.6948231494275,37,Mus musculus
G5E8J9,49.50577960534361,37,Mus musculus
G5E8M9,57.82749889019673,37,Mus musculus
G5E8N3,47.5326446448024,37,Mus musculus
G5E8N7,46.566620614352644,37,Mus musculus
G5E8Q0,48.86761036384093,37,Mus musculus
G5E8R3,45.90992775196643,37,Mus musculus
G5E8R4,52.72420462310042,37,Mus musculus
G5E8R8,52.773015840915,37,Mus musculus
G5E8T9,51.91037099315923,37,Mus musculus
G5E8U6,52.774293922308,37,Mus musculus
G5E8V9,48.13876764387137,37,Mus musculus
G5E8W9,51.130464359739236,37,Mus musculus
G5E8X5,52.26928008016069,37,Mus musculus
G5E924,48.088395488944805,37,Mus musculus
G5E948,50.0197343626496,37,Homo sapiens
G5E971,54.23489961734065,37,Homo sapiens
G5E972,55.60097371039387,37,Homo sapiens
G5E975,45.53896817564928,37,Homo sapiens
G5E9A6,44.211577531352255,37,Homo sapiens
G5E9D4,48.8502840250063,37,Homo sapiens
G5E9I4,48.52406471601597,37,Homo sapiens
G5E9M7,56.677733049806456,37,Homo sapiens
G5E9P3,45.86885861532241,37,Homo sapiens
G5E9V6,51.14179209377196,37,Homo sapiens
G5E9W9,54.8574709086517,37,Homo sapiens
G5EA03,55.057231783157135,37,Homo sapiens
G5EA09,52.0672711336263,37,Homo sapiens
G5EA30,46.5448754740541,37,Homo sapiens
G5EA36,48.41140322180125,37,Homo sapiens
G5EBF4,45.59900711209558,20,Caenorhabditis elegans
G5EBF5,37.20593421539133,20,Caenorhabditis elegans
G5EBH2,38.118592676223464,20,Caenorhabditis elegans
G5EBH3,42.802583956283314,20,Caenorhabditis elegans
G5EBJ3,43.19530920415489,20,Caenorhabditis elegans
G5EBJ8,51.97507181501249,20,Caenorhabditis elegans
G5EBK0,43.867058797148246,20,Caenorhabditis elegans
G5EBK3,49.09767441149284,20,Caenorhabditis elegans
G5EBK4,44.02936317557084,20,Caenorhabditis elegans
G5EBK8,37.65463198917218,20,Caenorhabditis elegans
G5EBP0,44.68581067194178,20,Caenorhabditis elegans
G5EBQ9,37.28654749978648,20,Caenorhabditis elegans
G5EBR1,44.77490333563504,20,Caenorhabditis elegans
G5EBR7,37.85352416983938,20,Caenorhabditis elegans
G5EBS1,39.85396172537118,20,Caenorhabditis elegans
G5EBT7,53.565563332903565,20,Caenorhabditis elegans
